Sku_Code,Item_Number,Item_Name,Sales_Price,Product_Group,Business_Area,Dns,Item,Color_Code,Size,Procurement_Group,Color_Name,Color_Code,Heel_Type,Occasion,Shoe_Type,Description
118-10001-11-4,118-10001,118-10001,1995,US,OTR,118,10001,11,4,NA,BLACK,C,N/A,Womens Bags,backpack,NA
118-10001-11-4,118-10001-001,118-10001 C-11-BLACK_4_A,1995,US,OTR,118,10001,11,4,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-5,118-10001-002,118-10001 C-11-BLACK_5_A,1995,US,OTR,118,10001,11,5,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-6,118-10001-003,118-10001 C-11-BLACK_6_A,1995,US,OTR,118,10001,11,6,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-7,118-10001-004,118-10001 C-11-BLACK_7_A,1995,US,OTR,118,10001,11,7,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-8,118-10001-005,118-10001 C-11-BLACK_8_A,1995,US,OTR,118,10001,11,8,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-9,118-10001-006,118-10001 C-11-BLACK_9_A,1995,US,OTR,118,10001,11,9,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-10,118-10001-007,118-10001 C-11-BLACK_10_A,1995,US,OTR,118,10001,11,10,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-11,118-10001-008,118-10001 C-11-BLACK_11_A,1995,US,OTR,118,10001,11,11,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-12,118-10001-009,118-10001 C-11-BLACK_12_A,1995,US,OTR,118,10001,11,12,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-13,118-10001-010,118-10001 C-11-BLACK_13_A,1995,US,OTR,118,10001,11,13,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-14,118-10001-011,118-10001 C-11-BLACK_14_A,1995,US,OTR,118,10001,11,14,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-15,118-10001-012,118-10001 C-11-BLACK_15_A,1995,US,OTR,118,10001,11,15,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-16,118-10001-013,118-10001 C-11-BLACK_16_A,1995,US,OTR,118,10001,11,16,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-11-17,118-10001-014,118-10001 C-11-BLACK_17_A,1995,US,OTR,118,10001,11,17,1,BLACK,C,N/A,Womens Bags,backpack,Black
118-10001-62-4,118-10001-015,118-10001 KHK-62-KHAKI_4_A,1995,US,OTR,118,10001,62,4,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-5,118-10001-016,118-10001 KHK-62-KHAKI_5_A,1995,US,OTR,118,10001,62,5,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-6,118-10001-017,118-10001 KHK-62-KHAKI_6_A,1995,US,OTR,118,10001,62,6,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-7,118-10001-018,118-10001 KHK-62-KHAKI_7_A,1995,US,OTR,118,10001,62,7,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-8,118-10001-019,118-10001 KHK-62-KHAKI_8_A,1995,US,OTR,118,10001,62,8,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-9,118-10001-020,118-10001 KHK-62-KHAKI_9_A,1995,US,OTR,118,10001,62,9,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-10,118-10001-021,118-10001 KHK-62-KHAKI_10_A,1995,US,OTR,118,10001,62,10,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-11,118-10001-022,118-10001 KHK-62-KHAKI_11_A,1995,US,OTR,118,10001,62,11,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-12,118-10001-023,118-10001 KHK-62-KHAKI_12_A,1995,US,OTR,118,10001,62,12,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-13,118-10001-024,118-10001 KHK-62-KHAKI_13_A,1995,US,OTR,118,10001,62,13,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-14,118-10001-025,118-10001 KHK-62-KHAKI_14_A,1995,US,OTR,118,10001,62,14,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-15,118-10001-026,118-10001 KHK-62-KHAKI_15_A,1995,US,OTR,118,10001,62,15,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-16,118-10001-027,118-10001 KHK-62-KHAKI_16_A,1995,US,OTR,118,10001,62,16,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-62-17,118-10001-028,118-10001 KHK-62-KHAKI_17_A,1995,US,OTR,118,10001,62,17,200,KHAKI,KHK,N/A,Womens Bags,backpack,Chocolate
118-10001-45-4,118-10001-029,118-10001 D-45-BLUE_4_A,1995,US,OTR,118,10001,45,4,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-5,118-10001-030,118-10001 D-45-BLUE_5_A,1995,US,OTR,118,10001,45,5,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-6,118-10001-031,118-10001 D-45-BLUE_6_A,1995,US,OTR,118,10001,45,6,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-7,118-10001-032,118-10001 D-45-BLUE_7_A,1995,US,OTR,118,10001,45,7,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-8,118-10001-033,118-10001 D-45-BLUE_8_A,1995,US,OTR,118,10001,45,8,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-9,118-10001-034,118-10001 D-45-BLUE_9_A,1995,US,OTR,118,10001,45,9,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-10,118-10001-035,118-10001 D-45-BLUE_10_A,1995,US,OTR,118,10001,45,10,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-11,118-10001-036,118-10001 D-45-BLUE_11_A,1995,US,OTR,118,10001,45,11,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-12,118-10001-037,118-10001 D-45-BLUE_12_A,1995,US,OTR,118,10001,45,12,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-13,118-10001-038,118-10001 D-45-BLUE_13_A,1995,US,OTR,118,10001,45,13,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-14,118-10001-039,118-10001 D-45-BLUE_14_A,1995,US,OTR,118,10001,45,14,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-15,118-10001-040,118-10001 D-45-BLUE_15_A,1995,US,OTR,118,10001,45,15,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-16,118-10001-041,118-10001 D-45-BLUE_16_A,1995,US,OTR,118,10001,45,16,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-45-17,118-10001-042,118-10001 D-45-BLUE_17_A,1995,US,OTR,118,10001,45,17,410,BLUE,D,N/A,Womens Bags,backpack,Navy
118-10001-62-4,118-10001-043,118-10001 KHK-62-KHAKI_4_D,1995,US,OTR,118,10001,62,4,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
118-10001-62-5,118-10001-044,118-10001 KHK-62-KHAKI_5_D,1995,US,OTR,118,10001,62,5,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
118-10001-62-6,118-10001-045,118-10001 KHK-62-KHAKI_6_D,1995,US,OTR,118,10001,62,6,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
118-10001-62-7,118-10001-046,118-10001 KHK-62-KHAKI_7_D,1995,US,OTR,118,10001,62,7,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
118-10001-62-8,118-10001-047,118-10001 KHK-62-KHAKI_8_D,1995,US,OTR,118,10001,62,8,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
