material,material_category,old_material_number,procurement_group,container_reqmts,heel_type,upper_material,lining_material,in_sole_material,assortment_group,material_description,material_group,x_plant_matl_status,description,ext_material_group,brand,characteristic_value,color_number,color_name,characteristic_value,characteristic_value,item_type,text_lab_engineering_office,condition_amount
100-621-CRC,0,621,,,,,,,,CASH MEMO CROCS,P0001,,,,CRC,,0,,,,,,0
100-632-CRC,0,632,,,,,,,,CROCS SUGGESTIONS BOOK,P0001,,,,CRC,,0,,,,,,0
100-639-CRC,0,639,,,,,,,,CHQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-640-CRC,0,640,,,,,,,,GUQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-641-CRC,0,641,,,,,,,,LUQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-642-CRC,0,642,,,,,,,,KLQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-643-CRC,0,643,,,,,,,,NDQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-644-CRC,0,644,,,,,,,,KPQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-645-CRC,0,645,,,,,,,,TVQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-654-CRC,0,654,,,,,,,,LKQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-655-CRC,0,655,,,,,,,,PJQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-664-CRC,0,664,,,,,,,,CSQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-665-CRC,0,665,,,,,,,,CCQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-666-CRC,0,666,,,,,,,,GOQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-667-CRC,0,667,,,,,,,,PMQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-668-CRC,0,668,,,,,,,,BOQ - VISITING CARD BOX,P0001,,,,CRC,,0,,,,,,0
100-714-CRC,0,714,,,,,,,,CROCS PROFORMA INVOICE,P0001,,,,CRC,,0,,,,,,0
100-735-CRC,0,735,,,,,,,,CROCS THERMAL ROLL,P0001,,,,CRC,,0,,,,,,0
100-793-CRC,0,793,,,,,,,,CROCS BY REVIVA T-SHIRT,P0001,,,,CRC,,0,,,,,,0
11-20647-GREEN,0,20647,,US,,,,,,CROCS PAPER CARRY BAG,P0072,,,11,CRC,,0,,,,,,0
118-10001,1,10001,,US,NULL,NA,NA,,,118-10001,M70001951,,,118,CRC,,0,,,,17,PLASTIC-BRANDED,0
118-10001-001,2,10001,1,US,,,,,,"118-10001, 4, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,4,1,17,PLASTIC-BRANDED,1995
118-10001-002,2,10001,1,US,,,,,,"118-10001, 5, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,5,1,17,PLASTIC-BRANDED,1995
118-10001-003,2,10001,1,US,,,,,,"118-10001, 6, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,6,1,17,PLASTIC-BRANDED,1995
118-10001-004,2,10001,1,US,,,,,,"118-10001, 7, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,7,1,17,PLASTIC-BRANDED,1995
118-10001-005,2,10001,1,US,,,,,,"118-10001, 8, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,8,1,17,PLASTIC-BRANDED,1995
118-10001-006,2,10001,1,US,,,,,,"118-10001, 9, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,9,1,17,PLASTIC-BRANDED,1995
118-10001-007,2,10001,1,US,,,,,,"118-10001, 10, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,10,1,17,PLASTIC-BRANDED,1995
118-10001-008,2,10001,1,US,,,,,,"118-10001, 11, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,11,1,17,PLASTIC-BRANDED,1995
118-10001-009,2,10001,1,US,,,,,,"118-10001, 12, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,12,1,17,PLASTIC-BRANDED,1995
118-10001-010,2,10001,1,US,,,,,,"118-10001, 13, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,13,1,17,PLASTIC-BRANDED,1995
118-10001-011,2,10001,1,US,,,,,,"118-10001, 14, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,14,1,17,PLASTIC-BRANDED,1995
118-10001-012,2,10001,1,US,,,,,,"118-10001, 15, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,15,1,17,PLASTIC-BRANDED,1995
118-10001-013,2,10001,1,US,,,,,,"118-10001, 16, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,16,1,17,PLASTIC-BRANDED,1995
118-10001-014,2,10001,1,US,,,,,,"118-10001, 17, BLACK, 1",M70001951,5,NOT ASSIGNED,118,CRC,C,11,BLACK,17,1,17,PLASTIC-BRANDED,1995
118-10001-015,2,10001,200,US,,,,,,"118-10001, 4, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,4,1,17,PLASTIC-BRANDED,1995
118-10001-016,2,10001,200,US,,,,,,"118-10001, 5, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,5,2,17,PLASTIC-BRANDED,1995
118-10001-017,2,10001,200,US,,,,,,"118-10001, 6, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,6,2,17,PLASTIC-BRANDED,1995
118-10001-018,2,10001,200,US,,,,,,"118-10001, 7, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,7,1,17,PLASTIC-BRANDED,1995
118-10001-019,2,10001,200,US,,,,,,"118-10001, 8, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,8,1,17,PLASTIC-BRANDED,1995
118-10001-020,2,10001,200,US,,,,,,"118-10001, 9, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,9,1,17,PLASTIC-BRANDED,1995
118-10001-021,2,10001,200,US,,,,,,"118-10001, 10, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,10,1,17,PLASTIC-BRANDED,1995
118-10001-022,2,10001,200,US,,,,,,"118-10001, 11, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,11,2,17,PLASTIC-BRANDED,1995
118-10001-023,2,10001,200,US,,,,,,"118-10001, 12, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,12,1,17,PLASTIC-BRANDED,1995
118-10001-024,2,10001,200,US,,,,,,"118-10001, 13, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,13,1,17,PLASTIC-BRANDED,1995
118-10001-025,2,10001,200,US,,,,,,"118-10001, 14, KHAKI, 1",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,14,1,17,PLASTIC-BRANDED,1995
118-10001-026,2,10001,200,US,,,,,,"118-10001, 15, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,15,2,17,PLASTIC-BRANDED,1995
118-10001-027,2,10001,200,US,,,,,,"118-10001, 16, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,16,2,17,PLASTIC-BRANDED,1995
118-10001-028,2,10001,200,US,,,,,,"118-10001, 17, KHAKI, 2",M70001951,5,NOT ASSIGNED,118,CRC,KHK,62,KHAKI,17,2,17,PLASTIC-BRANDED,1995
118-10001-029,2,10001,410,US,,,,,,"118-10001, 4, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,4,1,17,PLASTIC-BRANDED,1995
118-10001-030,2,10001,410,US,,,,,,"118-10001, 5, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,5,1,17,PLASTIC-BRANDED,1995
118-10001-031,2,10001,410,US,,,,,,"118-10001, 6, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,6,1,17,PLASTIC-BRANDED,1995
118-10001-032,2,10001,410,US,,,,,,"118-10001, 7, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,7,1,17,PLASTIC-BRANDED,1995
118-10001-033,2,10001,410,US,,,,,,"118-10001, 8, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,8,1,17,PLASTIC-BRANDED,1995
118-10001-034,2,10001,410,US,,,,,,"118-10001, 9, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,9,1,17,PLASTIC-BRANDED,1995
118-10001-035,2,10001,410,US,,,,,,"118-10001, 10, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,10,1,17,PLASTIC-BRANDED,1995
118-10001-036,2,10001,410,US,,,,,,"118-10001, 11, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,11,1,17,PLASTIC-BRANDED,1995
118-10001-037,2,10001,410,US,,,,,,"118-10001, 12, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,12,1,17,PLASTIC-BRANDED,1995
118-10001-038,2,10001,410,US,,,,,,"118-10001, 13, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,13,1,17,PLASTIC-BRANDED,1995
118-10001-039,2,10001,410,US,,,,,,"118-10001, 14, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,14,1,17,PLASTIC-BRANDED,1995
118-10001-040,2,10001,410,US,,,,,,"118-10001, 15, BLUE, 1",M70001951,5,NOT ASSIGNED,118,CRC,D,45,BLUE,15,1,17,PLASTIC-BRANDED,1995
