Store,Store_Name,Brand,Type,State,City,Manager_Name,Address1,Email,Tel,Mobile,Open_Date,Close_Date
AAQ,AAQ-AHMEDABAD,CROCS,MALL,GUJRAT,AHMEDABAD,MR. AAMIR IQBAL BOOTWALA,"SHOP NO.20,1ST FLOOR, AHMEDABAD ONE MALL,VASTRAPUR LAKE,AHMEDABAD - 380 054. (GUJARAT)",aaq@crocsindia.com,079 - 48000233,9979891173,18/12/16,
ACQ,ACQ-AMBALA,CROCS,HIGH-STREET,HARYANA,AMBALA,MR. AKSHAY NARYAL,"GROUND FLOOR, SHOP NO.51,JAGGI CITY CENTER VILL.JANDLI SENA NAGAR,MODEL TOWN CROSSING,AMBALA -134003 (HARYANA)",acq@crocsindia.com,0171-2525100,8928406199,23/11/18,
APQ,APQ- AURANGABAD,CROCS,MALL,MAHARASHTRA,AURANGABAD,MR. RIZWAN SHAIKH,"UNIT NO.42, GROUND FLOOR, PROZONE MALL, MIDC INDUSTRIAL AREA, CHILKAL, AURANGABD - 431 210 (MAHARASHTRA)",apq@crocsindia.com,0240 6602561,9372714169,24/01/19,
ARQ,ARQ-AMRITSAR,CROCS,HIGH-STREET,PUNJAB,AMRITSAR,MR. AJAY RAJPUT,"GROUND FLOOR, MALL ROAD, NEAR NOVELTY CHOWK, AMRITSAR-143001 (PUNJAB)",arq@crocsindia.com,0183-5057111,9372802397,15/10/18,
ATQ,ATQ- AMRITSAR,CROCS,MALL,PUNJAB,AMRITSAR,MR. PRABHJOT SINGH,"UNIT NO:17 IST FLOOR, A WING, TRILIUM MALL, C4 CIRCULAR ROAD, BASANT AVENUE, AMRITSAR-143001 (PUNJAB)",atq@crocsindia.com,0183-5103376,9137523824,20/02/18,
BBQ,BBQ-VADODARA,CROCS,MALL,GUJRAT,VADODARA,MR. RAJ JETHWA,"UNIT NO.S15 & 16A, INORBIT MALL, GORWA ROAD,OPP. ALEMBIC SCHOOL, VILLAGE- SUBHANPURA, VADODARA - 390 023.  (GUJARAT)",bbq@crocsindia.com,0265 2291007,9712907958,15/08/16,
BFQ,BFQ- BANGALURU,CROCS,MALL,KARNATAKA,BANGALURU,MR. HUSSAIN REHMAN,"UNIT NO.G-08, PHOENIX MARKETCITY, WHITEFIELD ROAD, MAHADEVPURA, BANGALOREU , 560 048 (KARNATAKA)",bfq@crocsindia.com,080 - 49626079,9742066789,29/05/17,
BIQ,BIQ- BANGALURU,CROCS,HIGH-STREET,KARNATAKA,BANGALURU,MR. SYED MOINULLA,"GROUND FLOOR at NO.2011, 100 FEET ROAD, HAL 2ND FLOOR, INDIRA NAGAR, BENGALURU - 560 038 (KARNATAKA)",biq@crocsindia.com,080 - 48147138,9742000778,09/08/17,
BJQ,BJQ- BANGALURU,CROCS,HIGH-STREET,KARNATAKA,BANGALURU,MR. ARFATH KHAN,"BUILDING NO.72,OLD NO.383,LOWER GROUND FLOOR, 11TH MAIN ROAD, 3RD BLOCK, JYANAGAR ,BENGALURU -560 011 (KARNATAKA)",bjq@crocsindia.com,080 - 43767686,8928386575,28/09/18,
BKQ,BKQ- BANGALURU,CROCS,HIGH-STREET,KARNATAKA,BANGALURU,MR. MANZOOR AHMED,"GROUND FLOOR-4AC-401, KAMANHALLI MAIN RD,2ND BLOCK,HENNUR RD,BANASAVADI  ROAD LAYOUT, BDA LAYOUT,CORP.WARD NO.89, BENGALURU - 560 043 (KARNATAKA)",bkq@crocsindia.com,080 - 43740216,9326927219,21/08/18,
BMQ,BMQ- BANGALURU,CROCS,HIGH-STREET,KARNATAKA,BANGALURU,MR. SYED ALEEM,"SHOP NO.5&6, GROUND &FIRST FLOOR, VARTHUR MAIN ROAD, MARATHAHALLI,  BENGALURU -560 037 (KARNATAKA)",fsq@crocsindia.com,080 - 41114498,9372506455,28/03/19,
BOQ,BOQ- BANGALURU,CROCS,SHOP-N-SHOP,KARNATAKA,BANGALURU,MR. RAZA ABBAS NAMDAR,"SHOP NO.121, 1ST FLOOR, ORION MALL, BRIGADE GETWAY, DR. RAJKUMAR ROAD, BENGALURU - 560 055 (KARNATAKA)",boq@crocsindia.com,080 - 22682230,097424 33318,30/06/16,
BPQ,BPQ- BHOPAL,CROCS,MALL,MADHYA PRADESH,BHOPAL,MR. SHAHAB KHAN,"SHOP NO.S-33A,DB CITY MALL,OPP.MAHARANA PRATAP NAGAR ZONE-1,ARERA HILLS, BHOPAL - 462 011 (MP)",bpq@crocsindia.com,0755- 6644455,9326901608,20/06/18,
BSQ,BSQ- BANGALURU,CROCS,HIGH-STREET,KARNATAKA,BANGALURU,MR. ABDUL JABIR,"GROUND MEZZANINE FLOOR, NO-89,27TH MAIN ROAD, OPP. HSR LAYOUT PLICE STATION, HSR LAYOUT,  BENGALURU - 560 102 (KARNATAKA)",bsq@crocsindia.com,080 - 43720324,9137525733,01/05/18,
BVQ,BVQ- BANGALURU,CROCS,MALL,KARNATAKA,BANGALURU,MR. YASAR ARFATH,"SHOP NO.23, GROUND FLOOR, FORUM NEIGHBOURHOOD MALL, WHITEFIELD MAIN ROAD, BENGALURU -560 666 (KARNATAKA)",bvq@crocsindia.com,080 - 41206390,9372802678,28/10/18,
BZQ,BZQ- BANGALURU,CROCS,MALL,KARNATAKA,BANGALURU,MR. MOHAMMED WASEEM,"UNIT NO.32, UPPER GROUND FLOOR,  RMZ GALLERIA SHOPPING CENTRE, BAMGALORE BELLORY ROAD, YELANKKA, POST.YELANKKA, BENGALURU -560 064 (KARNATAKA)",bzq@crocsindia.com,080 - 68137447,9372506456,31/03/19,
CAQ,CAQ- KOLKATA,CROCS,MALL,WEST BANGAL,KOLKATA,MR. ZAKIR HOSSAIN,"UNIT NO.F-016, FRIST FLOOR, ACROPOLIS MALL, 1858/1 RAJDANGA MAIN ROAD, KOLKATA - 700 107 (W.BENGAL)",caq@crocsindia.com,033 46026731,9137525698,30/03/18,
CCQ,CCQ-KOLKATA (CITY CENTER),CROCS,MALL,WEST BANGAL,KOLKATA,MR. ZAHID HOSSAIN,"UNIT NO.C0003,GROUND FLOOR,BLOCK-C, CITY CENTER MALL ,NEW TOWN, RAJARHAT, KOLKATA - 700 157.(W.BENGAL)",ccq@crocsindia.com,033 40447383,9073360314,10/05/16,
CDQ,CDQ - CHANDIGARH,CROCS,HIGH-STREET,CHANDIGARH,CHANDIGARH,MR. RAVINDER KUMAR,"GROUND FLOOR, SCO. NO.   85- 86, SECTOR - 17 D ,CHANDIGARH - 160 017",cdq@crocsindia.com,0172-5060067,8928406192,08/11/18,
CFQ,CFQ-COIMBATORE,CROCS,MALL,TAMILNADU,COIMBATORE,MR. UMAR SHARIF,"SHOP NO- G-9, GROUND FLOOR, BROOKFIELD MALL, NO.67-71, KRISHNASWAMY ROAD, COIMBATORE - 641 001 (T.NADU)",cfq@crocsindia.com,0422-4957988,079770 91175,13/01/18,
