acnm,acname,brand,typenm,state_nm,city,mgr_nm,del_add1,email,tel,mob1,op_dt
AAQ,AAQ-AHMEDABAD,CROCS,MALL,GUJRAT,AHMEDABAD,MR. AAMIR IQBAL BOOTWALA,"SHOP NO.20,1ST FLOOR, AHMEDABAD ONE MALL,VASTRAPUR LAKE,AHMEDABAD - 380 054. (GUJARAT)",aaq@crocsindia.com,079 - 48000233,9979891173,2016-12-18
ACQ,ACQ-AMBALA,CROCS,HIGH-STREET,HARYANA,AMBALA,MR. MR. AKSHAY NARYAL,"GROUND FLOOR, SHOP NO.51,JAGGI CITY CENTER VILL.JANDLI SENA NAGAR,MODEL TOWN
CROSSING,AMBALA, HARYANA -134003",acq@crocsindia.com,0171-2525100,8928406199,2018-11-23
APQ,APQ- AURANGABAD,CROCS,MALL,MAHARASHTRA,AURANGABAD,ME. RIZWAN SHAIKH,"UNIT NO.42, GROUND FLOOR, PROZONE MALL, MIDC INDUSTRIAL AREA, CHILKAL, AURANGABD - 431 210 (MAHARASHTRA)",apq@crocsindia.com,,9595919573,2019-01-24
ARQ,ARQ-AMRITSAR,CROCS,HIGH-STREET,PUNJAB,AMRITSAR,MR. AJAY RAJPUT,"GROUND FLOOR, MALL ROAD, NEAR NOVELTY CHOWK, AMRITSAR-143001 (PUNJAB)",arq@crocsindia.com,0183-5057111,9372802397,2018-10-15
ATQ,ATQ- AMRITSAR,CROCS,MALL,PUNJAB,AMRITSAR,MR. PRABHJOT SINGH,"UNIT NO:17 IST FLOOR, A WING, TRILIUM MALL, C4 CIRCULAR ROAD, BASANT AVENUE, AMRITSAR-143001 (PUNJAB)",atq@crocsindia.com,0183-5103376,9137523824,2018-02-20
BBQ,BBQ-VADODARA,CROCS,MALL,GUJRAT,VADODARA,MR. RAJ JETHWA,"UNIT NO.S15 & 16A, INORBIT MALL, GORWA ROAD,OPP. ALEMBIC SCHOOL, VILLAGE- SUBHANPURA, VADODARA - 390 023. (GUJARAT)",bbq@crocsindia.com,0265 2291007,9712907958,2016-08-15
BFQ,BFQ-BENGALURU,CROCS,MALL,KARNATAKA,BENGALURU,MR. HUSSAIN REHMAN,"UNIT NO.G-08, PHOENIX MARKETCITY, WHITEFIELD ROAD, MAHADEVPURA, BANGALOREU , 560 048 (KARNATAKA)",bfq@crocsindia.com,080 49626079,9742066789,2017-05-29
BIQ,BIQ-BENGALURU,CROCS,HIGH-STREET,KARNATAKA,BENGALURU,MR. SYED MOINULLA,"GROUND FLOOR at NO.2011, 100 FEET ROAD, HAL 2ND FLOOR, INDIRA NAGAR, BENGALURU - 560 038 (KARNATAKA)",biq@crocsindia.com,080-48147138,9742000778,2017-08-09
BJQ,BJQ-BENGALURU,CROCS,HIGH-STREET,KARNATAKA,BENGALURU,MR. ARFATH KHAN,"BUILDING NO.72,OLD NO.383,LOWER GROUND FLOOR, 11TH MAIN ROAD, 3RD BLOCK, JYANAGAR ,BENGALURU -560 011 (KARNATAKA)",bjq@crocsindia.com,080-43767686,8928386575,2018-09-28
BKQ,BKQ-BENGALURU,CROCS,HIGH-STREET,KARNATAKA,BENGALURU,MR. MANZOOR AHMED,"GROUND FLOOR-4AC-401, KAMANHALLI MAIN RD,2ND BLOCK,HENNUR RD,BANASAVADI ROAD LAYOUT, BDA LAYOUT,CORP.WARD NO.89, BENGALURU - 560 043 (KARNATAKA)",bkq@crocsindia.com,080-43740216,9326927219,2019-08-21
BOQ,BOQ-BENGALURU,CROCS,SHOP-N-SHOP,KARNATAKA,BENGALURU,MR. RAZA ABBAS NAMDAR,"SHOP NO.121, 1ST FLOOR, ORION MALL, BRIGADE GETWAY, DR. RAJKUMAR ROAD, BENGALURU - 560 055 (KARNATAKA)",boq@crocsindia.com,080 - 22682230,097424 33318,2016-06-30
BPQ,BPQ- BHOPAL,CROCS,MALL,MADHYA PRADESH,BHOPAL,MR. SHAHAB KHAN,"SHOP NO.S-33A,DB CITY MALL,OPP.MAHARANA PRATAP NAGAR ZONE-1,ARERA HILLS, BHOPAL - 462 011 (MP)",bpq@crocsindia.com,0755- 6644455,9326901608,2018-06-20
BSQ,BSQ-BENGALURU,CROCS,HIGH-STREET,KARNATAKA,BENGALURU,MR. ABDUL JABIR,"GROUND MEZZANINE FLOOR, NO-89,27TH MAIN ROAD, OPP. HSR LAYOUT PLICE STATION, HSR LAYOUT, BENGALURU - 560 102 (KARNATAKA)",bsq@crocsindia.com,080 43720324,9137525733,2018-05-01
BVQ,BVQ-BENGALURU,CROCS,MALL,KARNATAKA,BENGALURU,MR. YASAR ARFATH,"SHOP NO.23, GROUND FLOOR, FORUM NEIGHBOURHOOD MALL, WHITEFIELD MAIN ROAD, BENGALURU -560 666 (KARNATAKA)",bvq@crocsindia.com,080 41206390,9372802678,2018-10-28
CAQ,CAQ- KOLKATA,CROCS,MALL,WEST BANGAL,KOLKATA,MR. ZAKIR HOSSAIN,"UNIT NO.F-016, FRIST FLOOR, ACROPOLIS MALL, 1858/1 RAJDANGA MAIN ROAD, KOLKATA - 700 107 (W.BENGAL)",caq@crocsindia.com,033 46026731,9137525698,2018-03-30
CCQ,CCQ-KOLKATA (CITY CENTER),CROCS,MALL,WEST BANGAL,KOLKATA,MR. ZAHID HOSSAIN,"UNIT NO.C0003,GROUND FLOOR,BLOCK-C, CITY CENTER MALL ,NEW TOWN, RAJARHAT, KOLKATA - 700 157.(W.BENGAL)",ccq@crocsindia.com,033 40447383,9073360314,2016-05-10
CDQ,CDQ - CHANDIGARH,CROCS,HIGH-STREET,CHANDIGARH,CHANDIGARH,MR. RAVINDER KUMAR,"GROUND FLOOR, SCO. NO. 85- 86, SECTOR - 17 D ,CHANDIGARH - 160 017",cdq@crocsindia.com,0172-5060067,8928406192,2018-11-08
CFQ,CFQ-COIMBATORE,CROCS,MALL,TAMILNADU,COIMBATORE,MR. UMAR SHARIF,"SHOP NO- G-9, GROUND FLOOR, BROOKFIELD MALL, NO.67-71, KRISHNASWAMY ROAD, COIMBATORE - 641 001 (T.NADU)",cfq@crocsindia.com,0422-4957988,079770 91175,2018-01-13
CHQ,CHQ - CHANDIGARH,CROCS,MALL,CHANDIGARH,CHANDIGARH,MR. DEEPAK SAHOTA,"UNIT NO.210B,2ND FLR, PLOT NO.178-178 /A,ELANTE MALL,INDUSTRIAL & BUSINESS PARK, PHASE I, CHANDIGARH- 160 002. ( CHANDIGARH)",chq@crocsindia.com,0172 - 5003800,078377 70558,2015-08-09
